source,ros_time_ns,trial,seed,object_x,object_y,object_z,pregrasp_x,pregrasp_y,pregrasp_z,qx,qy,qz,qw,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,transport_dx,transport_dy
send_goal,1785739322278356906,,,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6107706804099892,-1.2276707966449478,2.2950690807531453,-1.062219217811411,0.9512595784999714,0.0037786106499904165,-0.009951205142574535,0.0691199162742455
send_goal,1785739383952721875,,,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6153264296755969,-1.2422139167909434,2.2904167540850198,-1.054569119145262,0.9517724308962526,0.0045772653029153105,0.015557267807653197,-0.08192129966702281
send_goal,1785746705429851539,,,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.619783902519223,-1.2412751056922102,2.283137129272337,-1.0580967486297586,0.951494392680073,0.007283705899988208,-0.015878616814308653,-0.07407085109462365
send_goal,1785748909343942583,,,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6095163107946874,-1.2438186917509317,2.2894833442510243,-1.0541136301990046,0.9440727792312409,0.00590000387107803,-0.014199548595406838,-0.08317703445161256
send_goal,1785749610920007772,,,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6106702313225357,-1.2425998803735772,2.2938480586358376,-1.069648878083805,0.9505619836050199,0.009954755235498746,-0.016597629220564458,-0.06179634844896649
send_goal,1785813536778421643,,,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6099114598680018,-1.2321189624002062,2.296072470741626,-1.0566048624953124,0.9456223784713629,-0.006952186476808771,-0.01374981114330184,0.09427125587137548
random_test,,2,23,0.5984046349333587,-0.014497798803369995,0.05,0.44345010491781744,-0.010743650742524419,0.11,0.5060188509507259,0.4939078076751846,0.4939078076751846,0.5060188509507259,-0.8120862708979817,-1.3902620054145292,2.535452877191638,-1.168441710416547,0.771065937739823,-0.003362771271864278,-0.0056768062322429015,-0.07069527758496212
random_test,,5,23,0.5834532717789531,0.03397228273926049,0.05,0.42871535331541677,0.024962477548692494,0.11,0.485250508649136,0.514326689814708,0.514326689814708,0.485250508649136,-0.8177048101831615,-1.4386217452007672,2.6285549268729613,-1.1845496463116754,0.6965091505531014,0.0021078404395769613,0.003564939310880196,-0.08483965820552268
random_test,,6,23,0.6382441136547374,-0.016464897782626983,0.05,0.4832956637467345,-0.0124676648513228,0.11,0.506406111623073,0.4935107396103956,0.4935107396103956,0.506406111623073,-0.6439656234523882,-1.247360611012973,2.2947422516261438,-1.0608528323656656,0.937030747219171,-0.0010378084781081742,0.010391464489741237,0.09874246256710494
random_test,,7,23,0.5968764379593128,0.05695505647157828,0.05,0.442577318359865,0.04223154836938642,0.11,0.4756599691867998,0.5232089388697528,0.5232089388697528,0.4756599691867998,-0.685696467604314,-1.3859137025673565,2.539760073110372,-1.1527890720574439,0.7767762920966462,-0.003350856491080552,0.0029194236057210297,0.06710526964602291
