ros_time_ns,object_x,object_y,object_z,pregrasp_x,pregrasp_y,pregrasp_z,qx,qy,qz,qw,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,transport_dx,transport_dy
1785739322278356906,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6107706804099892,-1.2276707966449478,2.2950690807531453,-1.062219217811411,0.9512595784999714,0.0037786106499904165,-0.009951205142574535,0.0691199162742455
1785739383952721875,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6153264296755969,-1.2422139167909434,2.2904167540850198,-1.054569119145262,0.9517724308962526,0.0045772653029153105,0.015557267807653197,-0.08192129966702281
1785746705429851539,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.619783902519223,-1.2412751056922102,2.283137129272337,-1.0580967486297586,0.951494392680073,0.007283705899988208,-0.015878616814308653,-0.07407085109462365
1785748909343942583,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6095163107946874,-1.2438186917509317,2.2894833442510243,-1.0541136301990046,0.9440727792312409,0.00590000387107803,-0.014199548595406838,-0.08317703445161256
1785749610920007772,0.62,0.0,0.05,0.485,0.0,0.11,0.5,0.5,0.5,0.5,-0.6106702313225357,-1.2425998803735772,2.2938480586358376,-1.069648878083805,0.9505619836050199,0.009954755235498746,-0.016597629220564458,-0.06179634844896649
